epci2020;semaine_glissante;clage_65;ti
242900314;2020-10-21-2020-10-27;0;180.3
243100518;2020-10-21-2020-10-27;0;479.7
243300316;2020-10-21-2020-10-27;0;277
243400017;2020-10-21-2020-10-27;0;483.4
243500139;2020-10-21-2020-10-27;0;275.1
243700754;2020-10-21-2020-10-27;0;423.9
244200770;2020-10-21-2020-10-27;0;1256.9
244400404;2020-10-21-2020-10-27;0;379.2
244500468;2020-10-21-2020-10-27;0;515.6
245400676;2020-10-21-2020-10-27;0;419.5
245900410;2020-10-21-2020-10-27;0;984.3
246300701;2020-10-21-2020-10-27;0;613.2
246700488;2020-10-21-2020-10-27;0;673.9
248300543;2020-10-21-2020-10-27;0;470.5
200023414;2020-10-22-2020-10-28;0;444.8
200030195;2020-10-22-2020-10-28;0;293.9
200039865;2020-10-22-2020-10-28;0;497.3
200040715;2020-10-22-2020-10-28;0;899.8
200046977;2020-10-22-2020-10-28;0;888.7
200054781;2020-10-22-2020-10-28;0;556
200054807;2020-10-22-2020-10-28;0;602.3
242100410;2020-10-22-2020-10-28;0;580.4
242900314;2020-10-22-2020-10-28;0;193.7
243100518;2020-10-22-2020-10-28;0;470.9
243300316;2020-10-22-2020-10-28;0;281.3
243400017;2020-10-22-2020-10-28;0;487.5
243500139;2020-10-22-2020-10-28;0;291.5
243700754;2020-10-22-2020-10-28;0;431.8
244200770;2020-10-22-2020-10-28;0;1250.3
244400404;2020-10-22-2020-10-28;0;391.7
244500468;2020-10-22-2020-10-28;0;518.6
245400676;2020-10-22-2020-10-28;0;442
245900410;2020-10-22-2020-10-28;0;951.4
246300701;2020-10-22-2020-10-28;0;628.8
246700488;2020-10-22-2020-10-28;0;706.7
248300543;2020-10-22-2020-10-28;0;469.6
200023414;2020-10-23-2020-10-29;0;440.1
200030195;2020-10-23-2020-10-29;0;307.2
200039865;2020-10-23-2020-10-29;0;502.6
200040715;2020-10-23-2020-10-29;0;897.9
200046977;2020-10-23-2020-10-29;0;872.2
200054781;2020-10-23-2020-10-29;0;543.2
200054807;2020-10-23-2020-10-29;0;570.3
242100410;2020-10-23-2020-10-29;0;587.7
242900314;2020-10-23-2020-10-29;0;198.4
243100518;2020-10-23-2020-10-29;0;455.4
243300316;2020-10-23-2020-10-29;0;286.4
243400017;2020-10-23-2020-10-29;0;502.6
243500139;2020-10-23-2020-10-29;0;301.6
243700754;2020-10-23-2020-10-29;0;424.9
244200770;2020-10-23-2020-10-29;0;1230.5
244400404;2020-10-23-2020-10-29;0;392.7
244500468;2020-10-23-2020-10-29;0;505
245400676;2020-10-23-2020-10-29;0;443.5
245900410;2020-10-23-2020-10-29;0;916.2
246300701;2020-10-23-2020-10-29;0;626.4
246700488;2020-10-23-2020-10-29;0;710.2
248300543;2020-10-23-2020-10-29;0;475.7
200023414;2020-10-24-2020-10-30;0;433.1
200030195;2020-10-24-2020-10-30;0;294.9
200039865;2020-10-24-2020-10-30;0;495
200040715;2020-10-24-2020-10-30;0;829
200046977;2020-10-24-2020-10-30;0;851.1
200054781;2020-10-24-2020-10-30;0;524.8
200054807;2020-10-24-2020-10-30;0;520.7
242100410;2020-10-24-2020-10-30;0;541.6
242900314;2020-10-24-2020-10-30;0;202.8
243100518;2020-10-24-2020-10-30;0;422.3
243300316;2020-10-24-2020-10-30;0;289.2
243400017;2020-10-24-2020-10-30;0;473
243500139;2020-10-24-2020-10-30;0;295.8
243700754;2020-10-24-2020-10-30;0;417.6
244200770;2020-10-24-2020-10-30;0;1165
244400404;2020-10-24-2020-10-30;0;387.6
244500468;2020-10-24-2020-10-30;0;486.2
245400676;2020-10-24-2020-10-30;0;447.3
245900410;2020-10-24-2020-10-30;0;875.4
246300701;2020-10-24-2020-10-30;0;617.7
246700488;2020-10-24-2020-10-30;0;721.6
248300543;2020-10-24-2020-10-30;0;458
200023414;2020-10-25-2020-10-31;0;431.4
200030195;2020-10-25-2020-10-31;0;295.4
200039865;2020-10-25-2020-10-31;0;471.7
200040715;2020-10-25-2020-10-31;0;780.5
200046977;2020-10-25-2020-10-31;0;828.3
200054781;2020-10-25-2020-10-31;0;506.3
200054807;2020-10-25-2020-10-31;0;501.9
242100410;2020-10-25-2020-10-31;0;520.3
242900314;2020-10-25-2020-10-31;0;205.8
243100518;2020-10-25-2020-10-31;0;411.8
243300316;2020-10-25-2020-10-31;0;288.7
243400017;2020-10-25-2020-10-31;0;443.6
243500139;2020-10-25-2020-10-31;0;283.6
243700754;2020-10-25-2020-10-31;0;404.8
244200770;2020-10-25-2020-10-31;0;1117.8
244400404;2020-10-25-2020-10-31;0;380.1
244500468;2020-10-25-2020-10-31;0;478.3
245400676;2020-10-25-2020-10-31;0;450.3
245900410;2020-10-25-2020-10-31;0;839.4
246300701;2020-10-25-2020-10-31;0;587.7
246700488;2020-10-25-2020-10-31;0;705.8
248300543;2020-10-25-2020-10-31;0;461
200023414;2020-10-03-2020-10-09;65;154.7
200030195;2020-10-03-2020-10-09;65;91.2
200039865;2020-10-03-2020-10-09;65;50.9
200040715;2020-10-03-2020-10-09;65;249.5
200046977;2020-10-03-2020-10-09;65;232.7
200054781;2020-10-03-2020-10-09;65;180.3
200054807;2020-10-03-2020-10-09;65;178.4
242100410;2020-10-03-2020-10-09;65;96.3
242900314;2020-10-03-2020-10-09;65;34.7
243100518;2020-10-03-2020-10-09;65;148.7
243300316;2020-10-03-2020-10-09;65;78.6
243400017;2020-10-03-2020-10-09;65;233.6
243500139;2020-10-03-2020-10-09;65;42.5
243700754;2020-10-03-2020-10-09;65;82.1
244200770;2020-10-03-2020-10-09;65;331.9
244400404;2020-10-03-2020-10-09;65;77.4
244500468;2020-10-03-2020-10-09;65;64.8
245400676;2020-10-03-2020-10-09;65;77.2
245900410;2020-10-03-2020-10-09;65;359.5
246300701;2020-10-03-2020-10-09;65;160.4
